Family,genome_count,fraction,percentage
Madisaviridae,1,5.049739938393173e-05,0.005049739938393173
Maviroviridae,1,5.049739938393173e-05,0.005049739938393173
Orpheoviridae,1,5.049739938393173e-05,0.005049739938393173
Mazoviaviridae,1,5.049739938393173e-05,0.005049739938393173
Medioniviridae,1,5.049739938393173e-05,0.005049739938393173
Parnassusviridae,1,5.049739938393173e-05,0.005049739938393173
Ovaliviridae,1,5.049739938393173e-05,0.005049739938393173
Plasmaviridae,1,5.049739938393173e-05,0.005049739938393173
Giardiaviridae,1,5.049739938393173e-05,0.005049739938393173
Dishuiviroviridae,1,5.049739938393173e-05,0.005049739938393173
Fuxiviridae,1,5.049739938393173e-05,0.005049739938393173
Gammaormycoviridae,1,5.049739938393173e-05,0.005049739938393173
Pungoviridae,1,5.049739938393173e-05,0.005049739938393173
Finnlakeviridae,1,5.049739938393173e-05,0.005049739938393173
Pyrstoviridae,1,5.049739938393173e-05,0.005049739938393173
Pigerviridae,1,5.049739938393173e-05,0.005049739938393173
Hydriviridae,1,5.049739938393173e-05,0.005049739938393173
Carmotetraviridae,1,5.049739938393173e-05,0.005049739938393173
Burtonviroviridae,1,5.049739938393173e-05,0.005049739938393173
Brachygtaviriformidae,1,5.049739938393173e-05,0.005049739938393173
Crepuscuviridae,1,5.049739938393173e-05,0.005049739938393173
Clavaviridae,1,5.049739938393173e-05,0.005049739938393173
Clermontviridae,1,5.049739938393173e-05,0.005049739938393173
Ruviroviridae,1,5.049739938393173e-05,0.005049739938393173
Satyavativiridae,1,5.049739938393173e-05,0.005049739938393173
Epsomviridae,1,5.049739938393173e-05,0.005049739938393173
Fervensviridae,1,5.049739938393173e-05,0.005049739938393173
Eurekaviridae,1,5.049739938393173e-05,0.005049739938393173
Speroviridae,1,5.049739938393173e-05,0.005049739938393173
Amnoonviridae,1,5.049739938393173e-05,0.005049739938393173
Soleiviridae,1,5.049739938393173e-05,0.005049739938393173
Shortaselviridae,1,5.049739938393173e-05,0.005049739938393173
Chiyouviridae,1,5.049739938393173e-05,0.005049739938393173
Bartogtaviriformidae,1,5.049739938393173e-05,0.005049739938393173
Ungulaviridae,1,5.049739938393173e-05,0.005049739938393173
Alvernaviridae,1,5.049739938393173e-05,0.005049739938393173
Belpaoviridae,1,5.049739938393173e-05,0.005049739938393173
Aoguangviridae,1,5.049739938393173e-05,0.005049739938393173
Apasviridae,1,5.049739938393173e-05,0.005049739938393173
Bicaudaviridae,1,5.049739938393173e-05,0.005049739938393173
Anaerodiviridae,1,5.049739938393173e-05,0.005049739938393173
Armatusviridae,1,5.049739938393173e-05,0.005049739938393173
Arenbergviridae,1,5.049739938393173e-05,0.005049739938393173
Sunviridae,1,5.049739938393173e-05,0.005049739938393173
Spiraviridae,1,5.049739938393173e-05,0.005049739938393173
Suolaviridae,1,5.049739938393173e-05,0.005049739938393173
Yaraviridae,1,5.049739938393173e-05,0.005049739938393173
Aggregaviridae,1,5.049739938393173e-05,0.005049739938393173
Abyssoviridae,1,5.049739938393173e-05,0.005049739938393173
